frame_id,yolo_idx,matched_gt,n_masked_pts,n_inside_3d,precision_3d,iou_2d,dist_estimated_m,dist_gt_m,dist_error_m
006097,10,True,34,0,0.0000,0.0260,,18.460,
006097,11,False,26,0,0.0000,0.0000,,,
006097,12,True,16,10,0.6250,0.0570,25.579,25.150,0.429
006098,0,True,773,540,0.6986,0.8655,12.895,13.170,0.275
006098,1,True,300,181,0.6033,0.8080,18.188,19.630,1.442
006098,2,True,70,58,0.8286,0.6940,34.722,35.710,0.988
006098,3,True,76,52,0.6842,0.4856,34.722,35.710,0.988
006206,0,True,9,0,0.0000,0.7688,,45.990,
006211,0,True,2293,1717,0.7488,0.8645,6.154,7.080,0.926
006211,1,True,1564,949,0.6068,0.8712,5.125,6.020,0.895
006211,2,True,604,442,0.7318,0.7419,9.774,10.850,1.076
006211,3,True,84,59,0.7024,0.8416,32.487,33.780,1.293
006211,4,True,216,180,0.8333,0.8484,21.606,22.960,1.354
006211,5,True,184,141,0.7663,0.9252,23.770,25.170,1.400
006211,6,True,71,35,0.4930,0.4099,33.588,34.360,0.772
006211,7,True,126,43,0.3413,0.4724,43.632,44.540,0.908
006211,8,True,476,368,0.7731,0.5976,9.774,10.850,1.076
006211,9,True,292,124,0.4247,0.1761,13.731,12.770,0.961
006211,10,True,106,17,0.1604,0.4000,28.395,24.970,3.425
006227,0,True,1137,801,0.7045,0.9246,12.967,13.270,0.303
006227,1,True,150,113,0.7533,0.7153,20.357,16.350,4.007
006253,0,True,1346,1118,0.8306,0.8351,9.297,10.740,1.443
006253,1,True,111,87,0.7838,0.7494,26.400,27.920,1.520
006253,2,True,217,168,0.7742,0.6609,17.642,18.790,1.148
006253,3,True,84,60,0.7143,0.7533,34.128,35.450,1.322
006291,0,True,1188,166,0.1397,0.8312,3.200,2.730,0.470
006291,1,True,546,420,0.7692,0.8077,11.178,12.520,1.342
006291,2,True,132,94,0.7121,0.8620,26.833,28.190,1.357
006291,3,True,190,126,0.6632,0.9232,31.926,29.610,2.316
006291,4,True,121,91,0.7521,0.6670,20.169,21.740,1.571
006291,5,True,131,30,0.2290,0.5915,31.493,31.890,0.397
006291,6,False,1064,0,0.0000,0.0000,,,
006291,7,True,108,33,0.3056,0.5971,31.493,31.890,0.397
006291,8,True,183,44,0.2404,0.6073,15.862,16.770,0.908
006291,9,True,79,14,0.1772,0.1137,31.653,31.890,0.237
006291,10,True,109,93,0.8532,0.5935,21.857,22.240,0.383
006291,11,True,103,94,0.9126,0.4437,21.857,22.240,0.383
006291,12,True,228,183,0.8026,0.4708,18.870,19.150,0.280
006291,13,True,207,109,0.5266,0.6505,21.674,22.240,0.566
006291,14,True,80,22,0.2750,0.3480,31.595,31.890,0.295
006310,0,True,551,445,0.8076,0.7643,16.288,14.730,1.558
006310,1,True,144,104,0.7222,0.8859,27.847,29.920,2.073
006310,2,True,172,95,0.5523,0.3976,19.439,17.570,1.869
006310,3,True,60,29,0.4833,0.7161,38.982,40.570,1.588
006310,4,True,318,226,0.7107,0.5780,18.913,18.010,0.903
006310,5,True,448,37,0.0826,0.1619,26.241,24.990,1.251
006310,6,True,68,9,0.1324,0.3774,26.491,24.990,1.501
006310,7,False,59,0,0.0000,0.0000,,,
006310,8,True,85,8,0.0941,0.1309,67.853,68.980,1.127
006310,9,True,241,170,0.7054,0.3834,19.040,18.010,1.030
006310,10,True,70,38,0.5429,0.3399,26.241,24.990,1.251
006310,11,True,21,9,0.4286,0.3750,67.853,68.980,1.127
006310,12,True,200,153,0.7650,0.2935,18.913,18.010,0.903
006312,0,True,1104,925,0.8379,0.8806,10.613,11.660,1.047
006312,1,True,1066,917,0.8602,0.9186,12.310,11.640,0.670
006312,2,True,120,94,0.7833,0.8165,31.525,33.140,1.615
006312,3,True,152,112,0.7368,0.5959,18.491,18.480,0.011
006312,4,True,191,157,0.8220,0.8868,22.446,24.070,1.624
006312,5,True,92,65,0.7065,0.3253,22.441,20.780,1.661
006312,6,True,79,54,0.6835,0.6847,36.885,37.640,0.755
006312,7,True,98,45,0.4592,0.4739,36.885,37.640,0.755
006315,0,False,181,0,0.0000,0.0000,,,
006315,1,True,478,412,0.8619,0.8049,16.683,18.270,1.587
006315,2,False,107,0,0.0000,0.0000,,,
006315,3,True,20,11,0.5500,0.8661,54.250,55.560,1.310
006315,4,True,23,11,0.4783,0.5964,54.250,55.560,1.310
006315,5,False,0,0,0.0000,0.0000,,,
006315,6,False,134,0,0.0000,0.0000,,,
006315,7,False,222,0,0.0000,0.0000,,,
006315,8,False,0,0,0.0000,0.0000,,,
006315,9,False,19,0,0.0000,0.0000,,,
006329,0,True,1102,941,0.8539,0.6898,9.463,10.120,0.657
006329,1,True,391,104,0.2660,0.7874,6.340,4.510,1.830
006329,2,True,1360,1257,0.9243,0.8032,9.813,9.230,0.583
006329,3,True,445,5,0.0112,0.2236,11.623,9.230,2.393
006329,4,True,264,0,0.0000,0.1397,,9.230,
006329,5,True,267,167,0.6255,0.4778,10.106,9.230,0.876
006329,6,True,507,68,0.1341,0.4087,10.474,9.230,1.244
006329,7,True,153,107,0.6993,0.1358,10.381,9.230,1.151
006374,0,True,986,384,0.3895,0.8756,7.325,8.570,1.245
006374,1,True,333,185,0.5556,0.9181,18.559,20.330,1.771
